Periodo	temp_Ar	temp_agua	pH	cond	OD 	PO4	NT	COD	BOD	Nitrato	PT	STD
cheia	17	15.8	6.79	115.1	7.72	0.04	0.4	4.1	0.08	2.61	0.01	15
cheia	21.5	16.8	7.09	123.2	7.95	0.09	0.7	3.5	0.6	1.21	0.01	16
cheia	13	17.8	6.58	142	7	0.07	1.2	3	0.6	3.26	0.01	9
cheia	29	18.6	8.13	149	7.62	0.09	9.8	0.95	0.3	0.95	0.01	12
cheia	22	16.7	7.97	155.3	7.85	0.03	8.4	1.17	0.3	3.49	0	15
cheia	17	16.1	8.01	189.2	9.13	0.05	12.6	1.26	0.4	2	0	15
cheia	17.5	17.2	6.88	174	5.52	0.08	1.7	6.5	1.1	4.69	0.02	13
cheia	16	16.3	6.96	176.9	6.8	0.01	1.5	5.8	1	0.77	0.01	12
cheia	15	16.1	7.26	200	7.57	0.02	1.8	6.9	1.2	1.77	0.022	15
cheia	26	20.3	7.95	72	7.96	0.06	7	1.71	0.34	0.66	0.024	15
cheia	26.5	18.4	7.94	106.4	8.78	0.11	12.6	0.72	0	4.63	0.025	10
cheia	18.5	17.5	8.03	110.5	9.46	0	8.4	1	0.59	4.4	0.063	15
cheia	24	20.8	7.03	70.9	7.55	0.08	1	7.7	2.1	1.36	0.028	14
cheia	22	18.8	6.82	106.1	7.87	0.04	1.3	4	1.5	3.33	0.017	15
cheia	19	18.2	6.83	108.7	8.05	0.05	1.6	3.3	1.7	4.1	0	8
cheia	25.5	21.6	6.91	129.1	8.8	0.02	0.4	0.6	0.3	2.82	0.012	6
cheia	27	21.6	6.98	128.7	8.76	0.06	0.4	1.7	0.5	2.7	0	18
cheia	26	21.5	6.51	138.5	8.6	0.1	0.9	2.9	0.3	1.29	0	17
cheia	26.5	21.6	6.79	161.8	5.86	0	0.5	3	0.6	0.56	0.001	13
cheia	24	21.6	6.8	160.9	6.3	0.05	1.5	6.8	1.5	4.5	0	13
cheia	23	21.5	7.23	190.7	8.58	0.08	1.5	6.7	1.3	4.51	0.035	12
cheia	25	23.3	7.11	73.2	8.04	0.35	1.7	10.8	3.2	3.2	0.014	45
cheia	25	21.1	6.94	106.4	8.57	0.05	1.7	5.2	2.1	1.76	0.015	40
cheia	22	20.7	7.28	112.1	9.12	0.08	1.5	1.7	1.1	1.81	0.027	19
cheia	28	22	6.96	119.4	8.08	0.04	1.8	7.7	2.5	3.66	0.012	46
cheia	26.5	21.3	7.09	124.8	8.66	0.05	1.5	3.1	1.2	4.5	0.039	51
cheia	24	21.2	7.08	113.4	8.71	0.06	1.4	7.1	2.1	4.45	0.039	16.3
cheia	27.5	21.8	7.1	91.9	8.74	0.07	1	4.9	1.5	3.92	0.03	16.4
cheia	26	20.9	6.78	118.8	8.93	0.07	0.7	4.8	1	3.25	0.044	12.73
seca	23	21	6.9	86.9	8.99	0.04	0	8	4.9	0.51	0.039	16.7
seca	21	22	6.41	180.7	6.25	0.04	8.9	2	1	0.89	0.21	30.2
seca	22	20.6	6.74	132.9	6.54	0.07	4.8	8.4	3.4	4.5	0.198	39.4
seca	22	20.1	6.77	91	6.84	0.1	3	9	4	3.07	0.022	12.93
seca	27	21.6	13.21	151.9	7.5	0.01	11.2	0.2	0.1	0.15	0.03	16.4
seca	21	18.6	10.21	157.2	7.48	0.35	9.8	1	0.5	0.6	0.009	6.47
seca	19	18.1	6.91	132.3	8.72	0.14	14	0.6	0.2	3.35	0.014	12.91
seca	22.5	19.5	6.88	167	7.64	0.17	3.3	2.7	1.7	0.12	0.123	21.4
seca	22	18.8	6.76	177	6.55	0.2	5.4	5.1	2.7	0.89	0.02	10.3
seca	18.5	20.3	6.54	154.7	7.6	0.07	6.6	3.6	0.9	2.79	0.011	13.5
seca	23	20	7.98	126.7	8.2	0.02	8.4	0.77	0.23	3.49	0.014	13.48
seca	25.5	21	8.08	157.5	9.21	0	11.2	0.32	0	3.29	0	7.09
seca	21.5	19.3	8.24	166.6	8.3	0	14	0.37	0.12	1.2	0.003	10.8
seca	26	21.1	6.73	133.5	6.63	0.04	6.8	3.1	1.6	3.59	0.041	13.24
seca	28	20.4	7.36	175.2	6.93	0.02	4.5	4	1.2	1.26	0.031	14.4
seca	20.5	19.4	7.48	183.7	7.05	0.03	3.7	3.7	1.1	1.69	0.013	15.1
seca	26	21.6	7.08	348	7.68	0.2	11.8	14.3	5.5	3.76	0.007	15.2
seca	26.5	21.9	6.89	354	7.82	0.06	6.7	3	0.9	3.28	0.003	10.91
seca	23	21.4	7.05	229	8.24	0.09	5.1	4.6	1.2	4.26	0.014	44.06
seca	28.5	22.3	6.81	259	7.44	0.22	5.4	5.5	1.8	3.32	0.032	13.2
seca	28	22	7.2	217	8.54	0.07	4.2	2	0.8	2.88	0.09	15
seca	22.5	21.1	6.9	183.5	8	0.04	3.5	4	0.9	0.56	0.016	15.8
seca	27.5	22.9	6.56	178.8	8.23	0.02	8.6	2.2	0.8	1.9	0.013	15.9
seca	23	21.6	6.8	166.1	8.51	0.02	5.5	2.5	1.1	1.4	0.011	19.4
seca	21	20.9	6.85	133	8.61	0.02	3.4	3.5	1.4	1.3	0.009	14.01
seca	22.5	21.5	6.57	188.9	5.37	0.25	6.8	7.8	3	4.87	0.032	16.5
seca	25.6	21.6	6.97	201	6.11	0.44	5.5	17.7	4	2.03	0.031	16.6
seca	28	25	7.04	162.9	7.9	0.22	4	9.6	3.8	4.47	0.017	11
seca	29	21.4	6.49	123.1	7.94	0.02	4.4	5.2	1.3	3.19	0.02	11
seca	27.5	22.1	6.87	186.3	7.94	0.03	3.4	6.4	2.2	3.99	0.019	10
seca	32	25.1	7.67	189.9	8.18	0.19	2.8	1.5	0.8	2.56	0.017	39
