id;gender;math;daysabs;prog
1001;male;63;4;academic
1002;male;27;4;academic
1003;female;20;2;academic
1004;female;16;3;academic
1005;female;2;3;academic
1006;female;71;13;academic
1007;female;63;11;academic
1008;male;3;7;academic
1009;male;51;10;academic
1010;male;49;9;vocational
1011;female;31;4;vocational
1012;male;22;5;academic
1013;female;73;5;academic
1014;female;77;6;general
1015;male;10;1;vocational
1016;male;89;0;academic
1017;female;34;1;academic
1018;female;35;0;academic
1019;male;77;5;general
1020;male;4;24;academic
1021;female;21;2;academic
1022;male;61;0;academic
1023;male;41;1;academic
1024;male;63;0;academic
1025;female;19;8;academic
1026;male;55;6;general
1027;male;6;7;academic
1028;female;21;0;academic
1029;male;70;2;academic
1030;male;79;3;general
1031;male;1;0;academic
1032;female;29;1;academic
1033;male;40;3;academic
1034;male;39;0;academic
1035;male;68;0;academic
1036;female;20;28;academic
1037;male;10;8;academic
1038;male;84;5;academic
1039;male;1;5;general
1040;female;35;27;academic
1041;female;32;5;academic
1042;female;34;18;academic
1043;female;40;19;academic
1044;male;29;9;academic
1045;male;20;9;academic
1046;female;27;4;academic
1047;male;74;2;academic
1048;male;38;3;academic
1049;male;21;9;academic
1050;female;81;20;academic
1051;male;16;6;academic
1052;male;59;0;academic
1053;male;48;27;academic
1054;female;55;12;academic
1055;female;4;34;academic
1056;male;57;1;academic
1057;male;5;28;general
1058;male;3;8;general
1059;female;23;3;academic
1060;female;35;2;academic
1061;male;33;1;academic
1062;female;27;7;academic
1063;male;13;4;academic
1064;male;46;8;academic
1065;female;30;6;academic
1066;male;32;16;academic
1067;female;26;6;general
1068;female;14;4;academic
1069;female;31;3;vocational
1070;female;48;5;academic
1071;male;72;0;academic
1072;male;79;9;academic
1073;male;15;0;vocational
1074;male;24;8;academic
1075;female;55;0;vocational
1076;female;13;14;general
1077;male;34;4;academic
1078;male;67;2;academic
1079;male;1;35;academic
1080;female;21;23;academic
1081;female;33;13;academic
1082;male;78;6;academic
1083;female;84;3;general
1084;male;59;6;academic
1085;male;75;0;academic
1086;male;22;11;general
1087;female;49;11;academic
1088;female;13;11;academic
1089;male;84;4;vocational
1090;male;27;6;academic
1091;female;27;23;academic
1092;female;70;5;academic
1093;male;96;5;academic
1094;female;70;29;general
1095;female;10;7;academic
1096;male;14;1;academic
1097;male;20;9;academic
1098;male;11;11;academic
