Periodo	Sp1	Sp2	Sp3	Sp4	Sp5	Sp6	Sp7	Sp8	Sp9	Sp10	Sp11	Sp12	Sp13	Sp14	Sp15	Sp16	Sp17	Sp18	Sp19	Sp20	Sp21	Sp22	Sp23	Sp24	Sp25	Sp26	Sp27	Sp28	Sp29	Sp30
cheia	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7	0	4	2	0	0	0	0	0	0	0	0	0	0
cheia	3	0	0	2	0	3	4	0	0	0	0	4	0	0	0	0	5	0	4	7	0	0	0	0	5	0	5	0	0	0
cheia	0	4	0	7	0	2	0	0	0	0	0	4	0	0	0	0	6	0	5	6	0	0	0	0	2	0	2	0	2	0
cheia	0	8	0	2	0	2	3	0	2	0	0	4	0	0	0	0	5	0	4	5	0	0	5	0	2	0	1	0	2	0
cheia	2	0	0	0	4	2	2	0	0	0	0	4	0	0	0	0	2	5	2	6	0	5	0	0	3	2	2	0	2	0
cheia	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	5	3	4	0	6	0	0	3	5	5	0	6	0
cheia	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	6	5	4	5	0	3	0	0	3	2	2	0	2	0
cheia	0	4	0	5	0	0	0	0	0	0	4	0	0	0	4	0	4	0	4	4	2	0	2	0	3	0	2	0	2	0
cheia	0	3	0	3	0	0	0	0	0	0	0	6	0	0	4	4	2	0	4	5	0	2	2	0	2	0	3	0	2	0
cheia	4	0	0	0	4	2	4	0	0	0	0	0	0	0	0	0	6	3	4	4	0	0	0	0	3	0	6	1	2	0
cheia	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	3	4	0	0	0	2	0	5	0	3	2	4	0
cheia	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	2	4	0	2	0	3	0	4	0
cheia	0	5	0	5	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	9	2	0	2	0	2	0	2	0	0	0
cheia	0	4	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	6	0	0	4
cheia	0	4	0	0	0	0	0	0	0	2	5	0	0	0	3	0	0	0	0	0	2	0	0	0	2	0	1	0	4	0
cheia	0	7	0	4	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	0	4	3
cheia	2	0	2	0	4	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0
cheia	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	3	5	0	2	1	6	0
cheia	0	0	3	0	4	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	3	3	6	0	2	0	3	0
cheia	0	5	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	4	0	0	5	2	0	0	0	4	3
cheia	0	0	0	0	0	8.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0
cheia	0	0	0	16.67	25	4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0
cheia	0	0	0	16.67	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cheia	116.67	0	0	4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.67
cheia	100	0	0	33.33	0	0	33.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	41.67
cheia	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.67	0	0	0	0	0	54.17
cheia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.5
cheia	0	0	0	0	0	0	0	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.17
cheia	0	0	0	0	4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	50
seca	116.67	0	0	0	0	0	0	0	0	0	0	4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.33
seca	16.67	0	0	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17	0	0	0	0	0	0	0	58.33
seca	16.67	0	4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.33
seca	4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	0	0	0	0	0	62.5
seca	50	0	0	50	16.67	0	0	20.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17	0	0	0	0	0	0	183.33
seca	0	0	0	16.67	0	0	0	4.17	0	0	0	0	0	0	0	0	0	0	0	0	4.17	0	0	0	0	0	0	0	0	100
seca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	1.67	0	0	0	0	0
seca	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5
seca	0	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	1.67	0	0	6.67	0	0	0
seca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.33	0	0	0	0	0	0	0	0	0	600
seca	33.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133.33
seca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.33
seca	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0	1.67	0	3.33	0	0	0	0	0	0	0	0	0	0	0
seca	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67
seca	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seca	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3.33	0	0	1.67	0	0	0	0	0	0	0	20
seca	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	26.67
seca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.33
seca	3.33	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seca	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
seca	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17	0	0	0	0	0	0	0	0	20.83	0	0	0	0	0	0	25
seca	0	0	0	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.33
seca	16.67	0	0	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.17
seca	0	16.67	0	0	0	0	0	0	0	0	0	8.33	0	0	0	0	0	0	0	0	0	8.33	0	16.67	0	0	0	0	8.33	4.17
seca	0	0	0	66.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17	0	0	4.17	54.17
seca	0	0	0	183.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17	0	0	0	33.33	0	0	0	0	0	37.5
